model,dataset,num_hidden,add_edges_thres,val_loss,val_acc,test_loss,test_acc,activation,distance
node_SOGNN,cora,1,0.0,0.9957,0.782,0.8629,0.795,ELU,5
node_SOGNN,cora,2,0.0,1.1017,0.782,0.9984,0.796,ELU,5
node_SOGNN,cora,3,0.0,1.1185,0.794,1.0208,0.796,ELU,5
node_SOGNN,cora,5,0.0,1.2363,0.772,1.1001,0.798,ELU,5
node_SOGNN,cora,10,0.0,1.9422,0.126,1.9423,0.117,ELU,5
node_SOGNN,cora,1,0.0,1.0418,0.784,0.8805,0.791,ELU,6
node_SOGNN,cora,2,0.0,1.1086,0.78,0.9798,0.802,ELU,6
node_SOGNN,cora,3,0.0,1.1395,0.796,1.038,0.79,ELU,6
node_SOGNN,cora,5,0.0,1.2446,0.786,1.1431,0.793,ELU,6
node_SOGNN,cora,10,0.0,1.9458,0.058,1.9466,0.064,ELU,6
node_SOGNN,cora,1,0.0,1.0169,0.782,0.882,0.791,ELU,7
node_SOGNN,cora,2,0.0,1.124,0.78,0.9822,0.797,ELU,7
node_SOGNN,cora,3,0.0,1.133,0.796,1.0322,0.791,ELU,7
node_SOGNN,cora,5,0.0,1.2626,0.778,1.1712,0.792,ELU,7
node_SOGNN,cora,10,0.0,1.9509,0.114,1.9513,0.103,ELU,7
node_SOGNN,cora,1,0.0,1.0221,0.786,0.8795,0.787,ELU,8
node_SOGNN,cora,2,0.0,1.1127,0.78,0.9907,0.797,ELU,8
node_SOGNN,cora,3,0.0,1.0957,0.806,1.0006,0.791,ELU,8
node_SOGNN,cora,5,0.0,1.2333,0.776,1.1332,0.792,ELU,8
node_SOGNN,cora,10,0.0,1.953,0.072,1.9526,0.091,ELU,8
node_SOGNN,cora,1,0.0,1.0248,0.782,0.8679,0.792,ELU,9
node_SOGNN,cora,2,0.0,1.1003,0.77,0.9613,0.802,ELU,9
node_SOGNN,cora,3,0.0,1.1298,0.8,1.0131,0.789,ELU,9
node_SOGNN,cora,5,0.0,1.1184,0.786,1.0471,0.805,ELU,9
node_SOGNN,cora,10,0.0,1.9486,0.114,1.9482,0.103,ELU,9
node_SOGNN,cora,1,0.0,1.0459,0.78,0.8688,0.787,ELU,10
node_SOGNN,cora,2,0.0,1.1132,0.776,0.9859,0.792,ELU,10
node_SOGNN,cora,3,0.0,1.0875,0.802,0.9909,0.789,ELU,10
node_SOGNN,cora,5,0.0,1.189,0.782,1.0299,0.805,ELU,10
node_SOGNN,cora,10,0.0,1.8822,0.134,1.8843,0.145,ELU,10